	0
0	-0.01400065104166667
1	0.20683561052594868
2	0.17307213930348242
3	0.11090032335311646
4	0.1582893331751305
5	0.11972762978142065
6	0.10365914786967423
7	-0.14734859665927158
8	0.031745575286529874
9	-0.0007189398179519278
10	-0.14814154628149995
11	0.0606340548197428
12	-0.10031698876228719
13	0.09349617104616462
14	0.00960124640544562
15	-0.01013310172341087
16	-0.023020171565493724
17	-0.03498820437826921
18	0.14481337576201475
19	-0.034791670703383355
20	0.011322565611845204
21	-0.050535139705671944
22	0.0778413692863338
23	0.1766163184756325
24	0.05398351648351648
25	-0.12237710432146491
26	0.17217741935483874
27	0.1429483778116592
28	0.19112903225806457
29	0.19783952643557404
30	0.10895620896041022
31	0.07860720927610157
32	0.06342969306013846
33	0.03600659013605442
34	0.12761454872646727
35	0.2508169256100037
36	0.11931442714872816
37	0.12368197278911565
38	0.022014187144584425
39	0.14722234409734386
40	0.008111028798536936
41	0.06833875194099379
42	0.09279531377028902
43	0.1146905242032893
44	0.1510205937195468
45	0.13330361282326608
46	0.08613104095804988
47	0.31558055187406997
48	0.38208333333333333
49	0.12139880952380955
50	0.16517497988736923
51	0.16280166616855937
52	0.22638711734693875
53	0.013015049007623495
54	-0.06177870723532131
55	0.021014327377460378
56	-0.02799979012040164
57	0.1019903626996685
58	-0.02562206847115544
59	0.04023389629289216
60	-0.04768169746197091
61	0.11521334276284755
62	0.14244719539831024
63	0.10097444010071563
64	0.07683699633699634
65	0.10946125527033729
66	-0.055077635057929425
67	-0.12709332898235398
68	-0.10319045063569769
69	0.16431472589035645
70	0.07773927895021644
71	0.05933694412869977
72	0.029914457416051938
73	0.025112427564029476
74	0.09735243619778451
75	0.1997654300900317
76	0.23176100628930807
77	0.15547969187675073
78	0.05027882609229258
79	0.17757623608653994
80	0.12611400462962963
81	-0.014767666639785418
82	0.027074756117724884
83	0.05238324955603425
84	0.032352146092849046
85	0.18414076328664958
86	0.11300435523939935
87	0.2136784193250869
88	0.16216187237976587
89	-0.10110057101463067
90	0.02630731852309294
91	0.1392723107330503
92	0.2434319596800908
93	-0.11779458283865124
94	-0.12600056307870816
95	0.170630311696462
96	0.18098229023397558
97	0.036875000000000005
98	0.11986993397569819
99	-0.021869989425416986
100	0.1143834176671091
101	0.15372550473493715
102	0.04749624920120472
103	0.08636023916292977
104	0.13049739454158393
105	-0.007874617737003034
106	0.005314344788396114
107	0.1075275842044135
108	0.024244175407713914
109	0.045769232353836134
110	-0.01384132243734128
111	0.23210837894441416
112	-0.11302311520616552
113	0.08202109582574145
114	0.06954769448171039
115	0.13077180310326383
116	0.25174130053690635
117	0.12524536738320005
118	0.08541429592670402
119	0.06095032840722496
120	0.08311560451660818
121	0.16738828245439355
122	0.07207207207207207
123	-0.3429398760982248
124	0.12096386800334165
125	0.14779202439652855
126	0.1426386145856194
127	0.09042137394262272
128	0.12573272340112174
129	0.14267226204334615
130	0.2521780069786535
131	0.03799678330928332
132	0.08889302523706297
133	0.12216681139544935
134	0.11307610429503304
135	0.29040459344114994
136	0.1314505465304699
137	0.3187507613336567
138	0.0951156585641794
139	0.05795655066996294
140	0.13426741297684044
141	0.17652967111323722
142	-0.0009985250737463054
143	0.15465855781783927
144	0.04690171994212049
145	0.06210722725702494
146	0.04144868896448116
147	0.024164732662993557
148	0.08043224091270033
149	0.10213734650064464
150	0.08891621090116951
151	0.04836795149295153
152	0.07456061822832591
153	0.20827067669172938
154	-0.05002677408854167
155	0.057945786723658854
156	0.015451636637407413
157	-0.04920836354846505
158	-0.02627592399490206
159	0.022192608386638217
160	0.11864841541639483
161	-0.031910173160173166
162	0.16098826433468377
163	0.09892442876046235
164	0.00854431865243148
165	0.10409757653061226
166	0.0835949181907062
167	0.22778452380952346
168	0.18356141017091462
169	0.05119362005365517
170	0.08654946416570661
171	0.09830357142857143
172	-0.35833333333333334
173	0.26666666666666666
174	0.23955445627347607
175	0.28214285714285714
176	0.24107142857142858
177	0.13058986752595775
178	0.11385316752963813
179	0.07525228634500157
180	0.22616758241758242
181	0.1612528344671202
182	0.23511904761904737
183	0.1851851851851852
184	0.18749999999999997
185	0.18964162984781535
